wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
fledge,117.0,0.000117,fl/E/dZ/,f/l/E/J/_/,_/f/l/e/d/g/e/_/
queue,1316.0,0.001316,k/j/u/,k/j/u/_/_/,_/_/q/u/e/u/e/_/
wane,1772.0,0.001772,w/eI/n,_/w/e/j/n/,_/_/w/a/n/e/_/_/
mange,65.0,6.5e-05,m/eI/n/dZ/,_/m/e/j/n/,_/_/m/a/n/g/e/_/
yearn,2277.0,0.002277,/j/@/rn,_/j/^/r/n/,_/_/_/y/e/a/r/n/
jig,1651.0,0.001651,/dZ/I/g,_/J/I/g/_/,_/_/j/i/g/_/_/_/
jib,128.0,0.000128,/dZ/I/b,_/J/I/b/_/,_/_/j/i/b/_/_/_/
aft,1452.0,0.001452,/&/ft,_/_/@/f/t/,_/_/_/a/f/t/_/_/
plunk,815.0,0.000815,pl/@/N/k,p/l/^/G/k/,_/p/l/u/n/k/_/_/
troll,2374.0,0.002374,tr/oU/l,t/r/o/l/_/,_/t/r/o/l/l/_/_/
byte,869.0,0.000869,b/aI/t,_/b/a/j/t/,_/_/b/y/t/e/_/_/
one,1300648.0,1.300648,w/@/n,_/w/^/n/_/,_/_/_/o/n/e/_/_/
veldt,65.0,6.5e-05,f/E/lt,_/f/E/l/t/,_/_/v/e/l/d/t/_/
shawl,1328.0,0.001328,/S/O/l,_/S/a/l/_/,_/s/h/a/w/l/_/_/
snatch,4742.0,0.004742,sn/&/t/S/,s/n/@/t/S/,_/s/n/a/t/c/h/_/
sioux,989.0,0.000989,s/u/,_/s/u/_/_/,_/_/s/i/o/u/x/_/
zoo,5808.0,0.005808,z/u/,_/z/u/_/_/,_/_/z/o/o/_/_/_/
tike,101.0,0.000101,t/aI/k,_/t/a/j/k/,_/_/t/i/k/e/_/_/
west,67220.0,0.06722,w/E/st,_/w/E/s/t/,_/_/w/e/s/t/_/_/
world,345736.0,0.345736,w/@/rld,_/w/^/r/l/,_/_/w/o/r/l/d/_/
gleam,2355.0,0.002355,gl/i/m,g/l/i/m/_/,_/g/l/e/a/m/_/_/
