wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O
funk,1243,2.762222222,0.12122251022527832,f/@/N/k,_/_/f/^/G/k/_/,_/_/f/u/n/k/_/_/
mote,357,0.793333333,0.053435958935470304,m/oU/t,_/_/m/o/t/_/_/,_/_/m/o/t/e/_/_/
moth,2270,5.044444444,0.16459970018093154,m/O/T/,_/_/m/a/T/_/_/,_/_/m/o/t/h/_/_/
horde,1418,3.151111111,0.1302218415048958,h/oU/rd,_/_/h/o/r/d/_/,_/_/h/o/r/d/e/_/
canned,3249,7.22,0.1927259170777915,k/&/nd,_/_/k/@/n/d/_/,_/_/c/a/n/n/e/d/
hued,35,0.07777777799999999,0.05,h/j/u/d,_/h/j/u/d/_/_/,_/_/h/u/e/d/_/_/
bruit,22,0.048888889000000005,0.05,br/u/t,_/b/r/u/t/_/_/,_/b/r/u/i/t/_/_/
sight,27850,61.88888889,0.3788856557356682,s/aI/t,_/_/s/a/j/t/_/,_/_/s/i/g/h/t/_/
be,14388972,31975.49333,0.9489828382700006,b/i/,_/_/b/i/_/_/_/,_/_/b/e/_/_/_/_/
by,1735090,3855.755556,0.7554697089609052,b/aI/,_/_/b/a/j/_/_/,_/_/b/y/_/_/_/_/
chide,990,2.2,0.10641435331924895,/tS/aI/d,_/_/C/a/j/d/_/,_/c/h/i/d/e/_/_/
link,43441,96.53555556,0.4190349388046665,l/I/N/k,_/_/l/I/G/k/_/,_/_/l/i/n/k/_/_/
ling,852,1.893333333,0.09719770752862557,l/I/N/,_/_/l/I/G/_/_/,_/_/l/i/n/g/_/_/
line,174313,387.3622222,0.5454458880936734,l/aI/n,_/_/l/a/j/n/_/,_/_/l/i/n/e/_/_/
horned,520,1.155555556,0.07026722810084338,h/O/rnd,_/_/h/a/r/n/d/,_/_/h/o/r/n/e/d/
mood,16258,36.12888889,0.33067383851730797,m/u/d,_/_/m/u/d/_/_/,_/_/m/o/o/d/_/_/
code,28774,63.94222222,0.38182502688465,k/oU/d,_/_/k/o/d/_/_/,_/_/c/o/d/e/_/_/
send,112005,248.9,0.5051108710427873,s/E/nd,_/_/s/E/n/d/_/,_/_/s/e/n/d/_/_/
moot,864,1.92,0.09803705297080878,m/u/t,_/_/m/u/t/_/_/,_/_/m/o/o/t/_/_/
twine,1046,2.324444444,0.10990478246621242,tw/aI/n,_/t/w/a/j/n/_/,_/t/w/i/n/e/_/_/
bird,39359,87.46444444,0.41010422044949874,b/@/rd,_/_/b/^/r/d/_/,_/_/b/i/r/d/_/_/
let,189055,420.1222222,0.5528550115904026,l/E/t,_/_/l/E/t/_/_/,_/_/l/e/t/_/_/_/
sire,787,1.748888889,0.09251238235311507,s/aI/r,_/_/s/a/j/r/_/,_/_/s/i/r/e/_/_/
adze,42,0.093333333,0.05,/&/dz,_/_/_/@/d/z/_/,_/_/_/a/d/z/e/_/
doubt,33057,73.46,0.39433730070363326,d/AU/t,_/_/d/a/w/t/_/,_/_/d/o/u/b/t/_/
slit,2399,5.331111111,0.16883890466277612,sl/I/t,_/s/l/I/t/_/_/,_/s/l/i/t/_/_/_/
drill,11383,25.29555556,0.29911089505299115,dr/I/l,_/d/r/I/l/_/_/,_/d/r/i/l/l/_/_/
bent,1293,2.873333333,0.12388532945582013,b/E/nt,_/_/b/E/n/t/_/,_/_/b/e/n/t/_/_/
high,307428,683.1733333,0.5972530626479644,h/aI/,_/_/h/a/j/_/_/,_/_/h/i/g/h/_/_/
stow,1249,2.775555556,0.121546170992972,st/oU/,_/s/t/o/_/_/_/,_/s/t/o/w/_/_/_/
rille,19,0.042222222,0.05,r/i/l,_/_/r/i/l/_/_/,_/_/r/i/l/l/e/_/
belch,764,1.697777778,0.0907952987128867,b/E/l/tS/,_/_/b/E/l/C/_/,_/_/b/e/l/c/h/_/
kiss,27484,61.07555556,0.3776947362040343,k/I/s,_/_/k/I/s/_/_/,_/_/k/i/s/s/_/_/
merge,4578,10.17333333,0.22080905638419376,m/@/r/dZ/,_/_/m/^/r/J/_/,_/_/m/e/r/g/e/_/
bad,160908,357.5733333,0.5381446625939581,b/&/d,_/_/b/@/d/_/_/,_/_/b/a/d/_/_/_/
czar,213,0.473333333,0.05,z/A/r,_/_/z/a/r/_/_/,_/c/z/a/r/_/_/_/
spill,12352,27.44888889,0.30631184042927395,sp/I/l,_/s/p/I/l/_/_/,_/s/p/i/l/l/_/_/
spilt,62,0.13777777800000002,0.05,sp/I/lt,_/s/p/I/l/t/_/,_/s/p/i/l/t/_/_/
blown,540,1.2,0.07213439514088714,bl/oU/n,_/b/l/o/n/_/_/,_/b/l/o/w/n/_/_/
steel,18644,41.43111111,0.3428862530740302,st/i/l,_/s/t/i/l/_/_/,_/s/t/e/e/l/_/_/
steed,110,0.244444444,0.05,st/i/d,_/s/t/i/d/_/_/,_/s/t/e/e/d/_/_/
steep,9825,21.83333333,0.2861947569667029,st/i/p,_/s/t/i/p/_/_/,_/s/t/e/e/p/_/_/
steer,5445,12.1,0.2353631743285426,st/i/r,_/s/t/i/r/_/_/,_/s/t/e/e/r/_/_/
heft,1159,2.575555556,0.11656675537109383,h/E/ft,_/_/h/E/f/t/_/,_/_/h/e/f/t/_/_/
soak,6797,15.10444444,0.2542538982791112,s/oU/k,_/_/s/o/k/_/_/,_/_/s/o/a/k/_/_/
soap,7175,15.94444444,0.25890558168103667,s/oU/p,_/_/s/o/p/_/_/,_/_/s/o/a/p/_/_/
soar,5250,11.66666667,0.23228566780285176,s/oU/r,_/_/s/o/r/_/_/,_/_/s/o/a/r/_/_/
flinch,2136,4.746666667,0.15997776250940612,fl/I/n/tS/,_/f/l/I/n/C/_/,_/f/l/i/n/c/h/_/
hope,132032,293.4044444,0.5201051745654788,h/oU/p,_/_/h/o/p/_/_/,_/_/h/o/p/e/_/_/
rein,3787,8.415555556000001,0.20514934470092092,r/eI/n,_/_/r/e/j/n/_/,_/_/r/e/i/n/_/_/
grasp,10437,23.19333333,0.29148785586932224,gr/&/sp,_/g/r/@/s/p/_/,_/g/r/a/s/p/_/_/
drum,8255,18.34444444,0.2710245639127297,dr/@/m,_/d/r/^/m/_/_/,_/d/r/u/m/_/_/_/
drub,16,0.035555556,0.05,dr/@/b,_/d/r/^/b/_/_/,_/d/r/u/b/_/_/_/
drug,98376,218.6133333,0.49329131415758454,dr/@/g,_/d/r/^/g/_/_/,_/d/r/u/g/_/_/_/
maul,358,0.7955555559999999,0.05354925683522798,m/A/l,_/_/m/a/l/_/_/,_/_/m/a/u/l/_/_/
ripe,4089,9.086666667000001,0.21144840873924442,r/aI/p,_/_/r/a/j/p/_/,_/_/r/i/p/e/_/_/
lush,3416,7.591111111,0.19676583255509414,l/@/S/,_/_/l/^/S/_/_/,_/_/l/u/s/h/_/_/
lust,3008,6.684444444,0.18656217534968983,l/@/st,_/_/l/^/s/t/_/,_/_/l/u/s/t/_/_/
phi,939,2.086666667,0.10311538260659148,f/aI/,_/_/f/a/j/_/_/,_/p/h/i/_/_/_/_/
ball,50045,111.2111111,0.43185835885403684,b/O/l,_/_/b/a/l/_/_/,_/_/b/a/l/l/_/_/
balk,1672,3.715555556,0.14188571203157957,b/O/k,_/_/b/a/k/_/_/,_/_/b/a/l/k/_/_/
dusk,4030,8.955555556,0.21025140915925072,d/@/sk,_/_/d/^/s/k/_/,_/_/d/u/s/k/_/_/
bale,1799,3.997777778,0.1472036020085618,b/eI/l,_/_/b/e/j/l/_/,_/_/b/a/l/e/_/_/
bald,3934,8.742222222,0.20826964191149439,b/O/ld,_/_/b/a/l/d/_/,_/_/b/a/l/d/_/_/
dust,20244,44.98666667,0.35024826158463307,d/@/st,_/_/d/^/s/t/_/,_/_/d/u/s/t/_/_/
trudge,1671,3.713333333,0.14184258780624004,tr/@/dZ/,_/t/r/^/J/_/_/,_/t/r/u/d/g/e/_/
glut,708,1.573333333,0.086474657236733,gl/@/t,_/g/l/^/t/_/_/,_/g/l/u/t/_/_/_/
glum,433,0.962222222,0.06167002006327321,gl/@/m,_/g/l/^/m/_/_/,_/g/l/u/m/_/_/_/
glue,5927,13.17111111,0.24255351286650312,gl/u/,_/g/l/u/_/_/_/,_/g/l/u/e/_/_/_/
taunt,2153,4.784444444,0.16057722356484289,t/O/nt,_/_/t/a/n/t/_/,_/_/t/a/u/n/t/_/
crisp,6656,14.79111111,0.25245633340545054,kr/I/sp,_/k/r/I/s/p/_/,_/c/r/i/s/p/_/_/
murk,263,0.584444444,0.05,m/@/rk,_/_/m/^/r/k/_/,_/_/m/u/r/k/_/_/
thief,5658,12.57333333,0.23861052781808215,/T/i/f,_/_/T/i/f/_/_/,_/t/h/i/e/f/_/_/
gummed,45,0.1,0.05,g/@/md,_/_/g/^/m/d/_/,_/_/g/u/m/m/e/d/
stage,57409,127.5755556,0.4443130512628763,st/eI/dZ/,_/s/t/e/j/J/_/,_/s/t/a/g/e/_/_/
count,41344,91.87555556,0.41455600610734106,k/AU/nt,_/_/k/a/w/n/t/,_/_/c/o/u/n/t/_/
smooth,21171,47.04666667,0.3542573816031335,sm/u/D/,_/s/m/u/D/_/_/,_/s/m/o/o/t/h/_/
tenth,2753,6.117777778,0.17955396352363504,t/E/n/T/,_/_/t/E/n/T/_/,_/_/t/e/n/t/h/_/
squinch,57,0.12666666699999998,0.05,skw/I/n/tS/,s/k/w/I/n/C/_/,_/s/q/u/i/n/c/h/
wreath,1796,3.991111111,0.14708148228197482,r/i/T/,_/_/r/i/T/_/_/,_/w/r/e/a/t/h/_/
disc,5920,13.15555556,0.2424530318265739,d/I/sk,_/_/d/I/s/k/_/,_/_/d/i/s/c/_/_/
near,86881,193.0688889,0.48197834313762233,n/i/r,_/_/n/i/r/_/_/,_/_/n/e/a/r/_/_/
smoke,28527,63.39333333,0.3810484878468411,sm/oU/k,_/s/m/o/k/_/_/,_/s/m/o/k/e/_/_/
glance,28278,62.84,0.38025893214701906,gl/&/ns,_/g/l/@/n/s/_/,_/g/l/a/n/c/e/_/
knoll,471,1.046666667,0.06552485236845192,n/oU/l,_/_/n/o/l/_/_/,_/k/n/o/l/l/_/_/
reign,4329,9.62,0.21616229151917793,r/eI/n,_/_/r/e/j/n/_/,_/_/r/e/i/g/n/_/
it,4453425,9896.5,0.8416931240430445,/I/t,_/_/_/I/t/_/_/,_/_/_/i/t/_/_/_/
jess,25,0.055555556,0.05,/dZ/E/s,_/_/J/E/s/_/_/,_/_/j/e/s/s/_/_/
fudge,1170,2.6,0.1171900889037395,f/@/dZ/,_/_/f/^/J/_/_/,_/_/f/u/d/g/e/_/
greet,8959,19.90888889,0.2781395046034143,gr/i/t,_/g/r/i/t/_/_/,_/g/r/e/e/t/_/_/
greek,12033,26.74,0.3040032603293044,gr/i/k,_/g/r/i/k/_/_/,_/g/r/e/e/k/_/_/
green,72458,161.0177778,0.46546410544257133,gr/i/n,_/g/r/i/n/_/_/,_/g/r/e/e/n/_/_/
greed,3217,7.148888889,0.1919310121785049,gr/i/d,_/g/r/i/d/_/_/,_/g/r/e/e/d/_/_/
then,625629,1390.286667,0.6621887786368884,/D/E/n,_/_/D/E/n/_/_/,_/t/h/e/n/_/_/_/
them,775168,1722.5955559999998,0.6817840072804047,/D/E/m,_/_/D/E/m/_/_/,_/t/h/e/m/_/_/_/
thee,1609,3.5755555560000003,0.13912839037206065,/D/i/,_/_/D/i/_/_/_/,_/t/h/e/e/_/_/_/
they,2131091,4735.757778,0.7742729275774383,/D/eI/,_/_/D/e/j/_/_/,_/t/h/e/y/_/_/_/
forth,21844,48.54222222,0.3570617196006902,f/oU/r/T/,_/_/f/o/r/T/_/,_/_/f/o/r/t/h/_/
grift,26,0.057777778,0.05,gr/I/ft,_/g/r/I/f/t/_/,_/g/r/i/f/t/_/_/
hearse,427,0.948888889,0.06104623577361319,h/@/rs,_/_/h/^/r/s/_/,_/_/h/e/a/r/s/e/
tithe,180,0.4,0.05,t/aI/D/,_/_/t/a/j/D/_/,_/_/t/i/t/h/e/_/
manned,921,2.046666667,0.1019220438136839,m/&/nd,_/_/m/@/n/d/_/,_/_/m/a/n/n/e/d/
strength,34073,75.71777778,0.39707017532488104,str/E/N/k/T/,s/t/r/E/G/k/T/,s/t/r/e/n/g/t/h/
shorts,5698,12.66222222,0.23920771017020606,/S/oU/rts,_/_/S/o/r/t/s/,_/s/h/o/r/t/s/_/
brief,22775,50.61111111,0.36080464970263126,br/i/f,_/b/r/i/f/_/_/,_/b/r/i/e/f/_/_/
do,2969535,6598.966667000002,0.8046205719315249,d/u/,_/_/d/u/_/_/_/,_/_/d/o/_/_/_/_/
psych,432,0.96,0.06156635092900712,s/aI/k,_/_/s/a/j/k/_/,_/p/s/y/c/h/_/_/
cop,19797,43.99333333,0.3482504224504287,k/A/p,_/_/k/a/p/_/_/,_/_/c/o/p/_/_/_/
cos,291,0.6466666670000001,0.05,k/oU/s,_/_/k/o/s/_/_/,_/_/c/o/s/_/_/_/
cot,1608,3.5733333330000003,0.13908394633797613,k/A/t,_/_/k/a/t/_/_/,_/_/c/o/t/_/_/_/
cow,11692,25.98222222,0.3014692984222891,k/AU/,_/_/k/a/w/_/_/,_/_/c/o/w/_/_/_/
coy,587,1.304444444,0.07637781627257549,k/Oi/,_/_/k/o/j/_/_/,_/_/c/o/y/_/_/_/
cob,613,1.362222222,0.07864334944501146,k/A/b,_/_/k/a/b/_/_/,_/_/c/o/b/_/_/_/
cog,615,1.3666666669999998,0.07881531946139421,k/A/g,_/_/k/a/g/_/_/,_/_/c/o/g/_/_/_/
coo,1110,2.466666667,0.11373730139565205,k/O/O/,_/_/k/a/_/_/_/,_/_/c/o/o/_/_/_/
con,7141,15.86888889,0.25849672294019727,k/A/n,_/_/k/a/n/_/_/,_/_/c/o/n/_/_/_/
voice,110398,245.3288889,0.5037940614137317,v/Oi/s,_/_/v/o/j/s/_/,_/_/v/o/i/c/e/_/
raid,7978,17.72888889,0.2680660175906399,r/eI/d,_/_/r/e/j/d/_/,_/_/r/a/i/d/_/_/
rail,10614,23.58666667,0.29296329927292475,r/eI/l,_/_/r/e/j/l/_/,_/_/r/a/i/l/_/_/
kept,109,0.242222222,0.05,k/E/pt,_/_/k/E/p/t/_/,_/_/k/e/p/t/_/_/
taint,1708,3.795555556,0.14342479896947283,t/eI/nt,_/_/t/e/j/n/t/,_/_/t/a/i/n/t/_/
the,25131726,55848.28,1.0000016381380281,/D/@/,_/_/D/^/_/_/_/,_/t/h/e/_/_/_/_/
spread,34804,77.34222222,0.39898714458930695,spr/E/d,s/p/r/E/d/_/_/,s/p/r/e/a/d/_/_/
barge,2404,5.342222222,0.16899932555155858,b/A/r/dZ/,_/_/b/a/r/J/_/,_/_/b/a/r/g/e/_/
cape,1888,4.195555556,0.15075426908314749,k/eI/p,_/_/k/e/j/p/_/,_/_/c/a/p/e/_/_/
theirs,4743,10.54,0.2237631378574787,/D/@/z,_/_/D/^/z/_/_/,_/t/h/e/i/r/s/_/
clomp,211,0.468888889,0.05,kl/A/mp,_/k/l/a/m/p/_/,_/c/l/o/m/p/_/_/
lewd,505,1.122222222,0.06884141203993428,l/u/d,_/_/l/u/d/_/_/,_/_/l/e/w/d/_/_/
fight,85258,189.4622222,0.4802620896153954,f/aI/t,_/_/f/a/j/t/_/,_/_/f/i/g/h/t/_/
fizz,290,0.644444444,0.05,f/I/z,_/_/f/I/z/_/_/,_/_/f/i/z/z/_/_/
veiled,819,1.82,0.09484899485441634,v/eI/ld,_/_/v/e/j/l/d/,_/_/v/e/i/l/e/d/
molt,332,0.737777778,0.05055692937898538,m/oU/lt,_/_/m/o/l/t/_/,_/_/m/o/l/t/_/_/
mold,7414,16.47555556,0.2617291817129796,m/oU/ld,_/_/m/o/l/d/_/,_/_/m/o/l/d/_/_/
mole,2151,4.78,0.16050690226914488,m/oU/l,_/_/m/o/l/_/_/,_/_/m/o/l/e/_/_/
flay,411,0.913333333,0.05936171386493591,fl/eI/,_/f/l/e/j/_/_/,_/f/l/a/y/_/_/_/
heed,2427,5.393333332999999,0.16973366005883675,h/i/d,_/_/h/i/d/_/_/,_/_/h/e/e/d/_/_/
grape,6243,13.87333333,0.24697827894607907,gr/eI/p,_/g/r/e/j/p/_/,_/g/r/a/p/e/_/_/
zone,23978,53.28444444,0.3654248610662073,z/oU/n,_/_/z/o/n/_/_/,_/_/z/o/n/e/_/_/
graph,7328,16.28444444,0.2607231660455225,gr/&/f,_/g/r/@/f/_/_/,_/g/r/a/p/h/_/_/
hump,1388,3.084444444,0.12874062171131195,h/@/mp,_/_/h/^/m/p/_/,_/_/h/u/m/p/_/_/
flash,20789,46.19777778,0.3526265208734306,fl/&/S/,_/f/l/@/S/_/_/,_/f/l/a/s/h/_/_/
blast,11549,25.66444444,0.3003854213175426,bl/&/st,_/b/l/@/s/t/_/,_/b/l/a/s/t/_/_/
helm,2156,4.791111111,0.16068260428095518,h/E/lm,_/_/h/E/l/m/_/,_/_/h/e/l/m/_/_/
burg,143,0.317777778,0.05,b/@/rg,_/_/b/^/r/g/_/,_/_/b/u/r/g/_/_/
bole,57,0.12666666699999998,0.05,b/oU/l,_/_/b/o/l/_/_/,_/_/b/o/l/e/_/_/
chuff,37,0.082222222,0.05,/tS/@/f,_/_/C/^/f/_/_/,_/c/h/u/f/f/_/_/
change,265482,589.96,0.5838534575231104,/tS/eI/n/dZ/,_/_/C/e/j/n/J/,_/c/h/a/n/g/e/_/
eke,534,1.186666667,0.07157823532451515,/i/k,_/_/_/i/k/_/_/,_/_/_/e/k/e/_/_/
ruffed,96,0.213333333,0.05,r/@/ft,_/_/r/^/f/t/_/,_/_/r/u/f/f/e/d/
live,235459,523.2422222,0.5728936971045385,l/aI/v,_/_/l/a/j/v/_/,_/_/l/i/v/e/_/_/
douche,101,0.224444444,0.05,d/u/S/,_/_/d/u/S/_/_/,_/_/d/o/u/c/h/e/
spy,8544,18.98666667,0.2740125728997107,sp/aI/,_/s/p/a/j/_/_/,_/s/p/y/_/_/_/_/
nock,45,0.1,0.05,n/A/k,_/_/n/a/k/_/_/,_/_/n/o/c/k/_/_/
crepe,980,2.1777777780000003,0.10577680363517136,kr/eI/p,_/k/r/e/j/p/_/,_/c/r/e/p/e/_/_/
nerve,11521,25.60222222,0.30017168202979827,n/@/rv,_/_/n/^/r/v/_/,_/_/n/e/r/v/e/_/
colt,1183,2.628888889,0.11792132190131996,k/oU/lt,_/_/k/o/l/t/_/,_/_/c/o/l/t/_/_/
cold,60987,135.5266667,0.44980262859005116,k/oU/ld,_/_/k/o/l/d/_/,_/_/c/o/l/d/_/_/
halt,8040,17.86666667,0.2687365793740309,h/O/lt,_/_/h/a/l/t/_/,_/_/h/a/l/t/_/_/
fling,4961,11.02444444,0.22752534015334633,fl/I/N/,_/f/l/I/G/_/_/,_/f/l/i/n/g/_/_/
chimp,1158,2.5733333330000003,0.11650987750643098,/tS/I/mp,_/_/C/I/m/p/_/,_/c/h/i/m/p/_/_/
flint,554,1.231111111,0.07341910245005906,fl/I/nt,_/f/l/I/n/t/_/,_/f/l/i/n/t/_/_/
half,111009,246.6866667,0.504296963400485,h/&/f,_/_/h/@/f/_/_/,_/_/h/a/l/f/_/_/
hall,47321,105.1577778,0.42678483997536876,h/O/l,_/_/h/a/l/_/_/,_/_/h/a/l/l/_/_/
em,2725,6.055555556,0.17875067699574096,/E/m,_/_/_/E/m/_/_/,_/_/_/e/m/_/_/_/
goose,4862,10.80444444,0.22583596770427333,g/u/s,_/_/g/u/s/_/_/,_/_/g/o/o/s/e/_/
ex,2242,4.982222222,0.1636530308767708,/E/ks,_/_/_/E/k/s/_/,_/_/_/e/x/_/_/_/
space,90132,200.2933333,0.4853222317831514,sp/eI/s,_/s/p/e/j/s/_/,_/s/p/a/c/e/_/_/
quark,651,1.446666667,0.08185675223614239,kw/@/rk,_/k/w/^/r/k/_/,_/_/q/u/a/r/k/_/
quart,1746,3.88,0.14502178227191287,kw/O/rt,_/k/w/a/r/t/_/,_/_/q/u/a/r/t/_/
domed,471,1.046666667,0.06552485236845192,d/oU/md,_/_/d/o/m/d/_/,_/_/d/o/m/e/d/_/
size,61816,137.3688889,0.45102886716262025,s/aI/z,_/_/s/a/j/z/_/,_/_/s/i/z/e/_/_/
sheep,7156,15.90222222,0.25867732706780555,/S/i/p,_/_/S/i/p/_/_/,_/s/h/e/e/p/_/_/
sheer,7284,16.18666667,0.26020415071143616,/S/i/r,_/_/S/i/r/_/_/,_/s/h/e/e/r/_/_/
sheet,24400,54.22222222,0.366991843666471,/S/i/t,_/_/S/i/t/_/_/,_/s/h/e/e/t/_/_/
breed,7623,16.94,0.2641288918511778,br/i/d,_/b/r/i/d/_/_/,_/b/r/e/e/d/_/_/
sheen,1167,2.593333333,0.11702050958748991,/S/i/n,_/_/S/i/n/_/_/,_/s/h/e/e/n/_/_/
peck,916,2.035555556,0.10158777961495936,p/E/k,_/_/p/E/k/_/_/,_/_/p/e/c/k/_/_/
ground,93680,208.17777780000003,0.48883731897871247,gr/AU/nd,_/g/r/a/w/n/d/,_/g/r/o/u/n/d/_/
gnat,426,0.946666667,0.060941856981703686,n/&/t,_/_/n/@/t/_/_/,_/g/n/a/t/_/_/_/
gnaw,1396,3.102222222,0.12913796440535652,n/O/,_/_/n/a/_/_/_/,_/g/n/a/w/_/_/_/
kike,74,0.164444444,0.05,k/aI/k,_/_/k/a/j/k/_/,_/_/k/i/k/e/_/_/
spurge,118,0.262222222,0.05,sp/@/r/dZ/,_/s/p/^/r/J/_/,_/s/p/u/r/g/e/_/
staged,393,0.8733333329999999,0.05742879667863967,st/eI/dZ/d,_/s/t/e/j/J/d/,_/s/t/a/g/e/d/_/
shim,188,0.417777778,0.05,/S/I/m,_/_/S/I/m/_/_/,_/s/h/i/m/_/_/_/
toss,18698,41.55111111,0.343144626372616,t/A/s,_/_/t/a/s/_/_/,_/_/t/o/s/s/_/_/
dregs,287,0.637777778,0.05,dr/E/gz,_/d/r/E/g/z/_/,_/d/r/e/g/s/_/_/
soil,24774,55.05333333,0.3683585070887587,s/Oi/l,_/_/s/o/j/l/_/,_/_/s/o/i/l/_/_/
ship,45056,100.1244444,0.4223408486567738,/S/I/p,_/_/S/I/p/_/_/,_/s/h/i/p/_/_/_/
fruit,26027,57.83777778,0.3727938924391535,fr/u/t,_/f/r/u/t/_/_/,_/f/r/u/i/t/_/_/
touch,63560,141.24444440000005,0.45355611277807095,t/@/tS/,_/_/t/^/C/_/_/,_/_/t/o/u/c/h/_/
speed,41813,92.91777778,0.41557694004566104,sp/i/d,_/s/p/i/d/_/_/,_/s/p/e/e/d/_/_/
ream,942,2.093333333,0.10331276779900458,r/i/m,_/_/r/i/m/_/_/,_/_/r/e/a/m/_/_/
frown,8745,19.43333333,0.2760346564003793,fr/AU/n,_/f/r/a/w/n/_/,_/f/r/o/w/n/_/_/
read,121055,269.0111111,0.5121922509529395,r/i/d,_/_/r/i/d/_/_/,_/_/r/e/a/d/_/_/
rear,15114,33.58666667,0.32418486004140384,r/i/r,_/_/r/i/r/_/_/,_/_/r/e/a/r/_/_/
chop,14524,32.27555556,0.3206492883821383,/tS/A/p,_/_/C/a/p/_/_/,_/c/h/o/p/_/_/_/
stealth,1677,3.726666667,0.14210102869820837,st/E/l/T/,_/s/t/E/l/T/_/,_/s/t/e/a/l/t/h/
hire,28484,63.29777778,0.3809126247141343,h/aI/r,_/_/h/a/j/r/_/,_/_/h/i/r/e/_/_/
sales,36707,81.57111111,0.40379696029211437,s/eI/lz,_/_/s/e/j/l/z/,_/_/s/a/l/e/s/_/
vert,169,0.375555556,0.05,v/@/rt,_/_/v/^/r/t/_/,_/_/v/e/r/t/_/_/
verb,2555,5.677777777999999,0.17371608589584855,v/@/rb,_/_/v/^/r/b/_/,_/_/v/e/r/b/_/_/
spry,206,0.457777778,0.05,spr/aI/,s/p/r/a/j/_/_/,s/p/r/y/_/_/_/_/
strong,96161,213.6911111,0.4912174528180631,str/O/N/,s/t/r/a/G/_/_/,s/t/r/o/n/g/_/_/
groin,1376,3.057777778,0.12814135314031647,gr/Oi/n,_/g/r/o/j/n/_/,_/g/r/o/i/n/_/_/
broke,1714,3.808888889,0.143678814888467,br/oU/k,_/b/r/o/k/_/_/,_/b/r/o/k/e/_/_/
nine,38300,85.11111111,0.40763749678652655,n/aI/n,_/_/n/a/j/n/_/,_/_/n/i/n/e/_/_/
lyre,184,0.408888889,0.05,l/aI/r,_/_/l/a/j/r/_/,_/_/l/y/r/e/_/_/
gash,896,1.991111111,0.10023837445171965,g/&/S/,_/_/g/@/S/_/_/,_/_/g/a/s/h/_/_/
gasp,6910,15.35555556,0.25566943217030474,g/&/sp,_/_/g/@/s/p/_/,_/_/g/a/s/p/_/_/
feed,30487,67.74888889,0.38703642082907547,f/i/d,_/_/f/i/d/_/_/,_/_/f/e/e/d/_/_/
staunch,1239,2.753333333,0.12100609850640429,st/A/n/tS/,_/s/t/a/n/C/_/,_/s/t/a/u/n/c/h/
fool,13175,29.27777778,0.3120119946801208,f/u/l,_/_/f/u/l/_/_/,_/_/f/o/o/l/_/_/
food,126325,280.72222220000003,0.5160766898320833,f/u/d,_/_/f/u/d/_/_/,_/_/f/o/o/d/_/_/
since,225971,502.1577778,0.5691381106984,s/I/ns,_/_/s/I/n/s/_/,_/_/s/i/n/c/e/_/
dunk,1786,3.968888889,0.14667323524387013,d/@/N/k,_/_/d/^/G/k/_/,_/_/d/u/n/k/_/_/
bast,22,0.048888889000000005,0.05,b/&/st,_/_/b/@/s/t/_/,_/_/b/a/s/t/_/_/
dirt,13897,30.88222222,0.3167359342187705,d/@/rt,_/_/d/^/r/t/_/,_/_/d/i/r/t/_/_/
pug,387,0.86,0.0567753081282993,p/@/g,_/_/p/^/g/_/_/,_/_/p/u/g/_/_/_/
dung,904,2.008888889,0.1007805272174565,d/@/N/,_/_/d/^/G/_/_/,_/_/d/u/n/g/_/_/
pub,2975,6.6111111110000005,0.1856849045489012,p/@/b,_/_/p/^/b/_/_/,_/_/p/u/b/_/_/_/
dire,3096,6.88,0.1888612526228508,d/aI/r,_/_/d/a/j/r/_/,_/_/d/i/r/e/_/_/
put,272711,606.0244444,0.5863072325517676,p/U/t,_/_/p/U/t/_/_/,_/_/p/u/t/_/_/_/
ash,6472,14.38222222,0.25005616810103476,/&/S/,_/_/_/@/S/_/_/,_/_/_/a/s/h/_/_/
pup,2255,5.011111111,0.1640937744155154,p/@/p,_/_/p/^/p/_/_/,_/_/p/u/p/_/_/_/
bask,1332,2.96,0.1259098276195755,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/k/_/_/
bash,2765,6.144444444,0.17989608174614866,b/&/S/,_/_/b/@/S/_/_/,_/_/b/a/s/h/_/_/
pus,319,0.708888889,0.05,p/@/s,_/_/p/^/s/_/_/,_/_/p/u/s/_/_/_/
sheikh,1723,3.828888889,0.14405852126384655,/S/eI/k,_/_/S/e/j/k/_/,_/s/h/e/i/k/h/_/
grime,571,1.268888889,0.07495523353560206,gr/aI/m,_/g/r/a/j/m/_/,_/g/r/i/m/e/_/_/
scrolled,45,0.1,0.05,skr/oU/ld,s/k/r/o/l/d/_/,s/c/r/o/l/l/e/d/
juice,18913,42.02888889,0.3441661592684596,/dZ/u/s,_/_/J/u/s/_/_/,_/_/j/u/i/c/e/_/
quote,24299,53.99777778,0.36661924334655016,kw/oU/t,_/k/w/o/t/_/_/,_/_/q/u/o/t/e/_/
skein,308,0.684444444,0.05,sk/eI/n,_/s/k/e/j/n/_/,_/s/k/e/i/n/_/_/
blend,11391,25.31333333,0.29917272691836144,bl/E/nd,_/b/l/E/n/d/_/,_/b/l/e/n/d/_/_/
booze,1595,3.544444444,0.1385042007279089,b/u/z,_/_/b/u/z/_/_/,_/_/b/o/o/z/e/_/
