wordform,word_class,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
skied,jj,22.0,0.04888888888888889,sk/i/d,_/s/k/i/d/_/_/,_/s/k/i/e/d/_/_/
pow,uh,435.0,0.9666666666666667,p/oU/,_/_/p/o/_/_/_/,_/_/p/o/w/_/_/_/
clan,nn,3724.0,8.275555555555556,kl/&/n,_/k/l/@/n/_/_/,_/c/l/a/n/_/_/_/
clam,nn,658.0,1.4622222222222223,kl/&/m,_/k/l/@/m/_/_/,_/c/l/a/m/_/_/_/
clam,vv,248.0,0.5511111111111111,kl/&/m,_/k/l/@/m/_/_/,_/c/l/a/m/_/_/_/
clad,vv,1662.0,3.6933333333333334,kl/&/d,_/k/l/@/d/_/_/,_/c/l/a/d/_/_/_/
clay,nn,9474.0,21.053333333333335,kl/eI/,_/k/l/e/j/_/_/,_/c/l/a/y/_/_/_/
claw,nn,1056.0,2.3466666666666667,kl/O/,_/k/l/a/_/_/_/,_/c/l/a/w/_/_/_/
claw,vv,380.0,0.8444444444444444,kl/O/,_/k/l/a/_/_/_/,_/c/l/a/w/_/_/_/
clap,vv,645.0,1.4333333333333333,kl/&/p,_/k/l/@/p/_/_/,_/c/l/a/p/_/_/_/
clap,nn,345.0,0.7666666666666667,kl/&/p,_/k/l/@/p/_/_/,_/c/l/a/p/_/_/_/
tube,nn,10134.0,22.52,t/u/b,_/_/t/u/b/_/_/,_/_/t/u/b/e/_/_/
poised,vv,3663.0,8.14,p/Oi/zd,_/_/p/o/j/z/d/,_/_/p/o/i/s/e/d/
poise,nn,701.0,1.5577777777777777,p/Oi/z,_/_/p/o/j/z/_/,_/_/p/o/i/s/e/_/
poise,vv,23.0,0.051111111111111114,p/Oi/z,_/_/p/o/j/z/_/,_/_/p/o/i/s/e/_/
ace,nn,1870.0,4.155555555555556,/eI/s,_/_/_/e/j/s/_/,_/_/_/a/c/e/_/_/
ace,jj,1060.0,2.3555555555555556,/eI/s,_/_/_/e/j/s/_/,_/_/_/a/c/e/_/_/
act,nn,49533.0,110.07333333333334,/&/kt,_/_/_/@/k/t/_/,_/_/_/a/c/t/_/_/
act,vv,24582.0,54.626666666666665,/&/kt,_/_/_/@/k/t/_/,_/_/_/a/c/t/_/_/
flawed,jj,3303.0,7.34,fl/O/d,_/f/l/a/d/_/_/,_/f/l/a/w/e/d/_/
gone,jj,22.0,0.04888888888888889,g/O/n,_/_/g/a/n/_/_/,_/_/g/o/n/e/_/_/
ad,nn,12066.0,26.813333333333333,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/_/_/_/
ah,uh,11417.0,25.371111111111112,/A/,_/_/_/a/_/_/_/,_/_/_/a/h/_/_/_/
am,rr,8145.0,18.1,/&/m,_/_/_/@/m/_/_/,_/_/_/a/m/_/_/_/
as,cs,1480797.0,3290.66,/&/z,_/_/_/@/z/_/_/,_/_/_/a/s/_/_/_/
as,ii,945873.0,2101.94,/&/z,_/_/_/@/z/_/_/,_/_/_/a/s/_/_/_/
as,rr,321322.0,714.0488888888889,/&/z,_/_/_/@/z/_/_/,_/_/_/a/s/_/_/_/
at,ii,2275149.0,5055.886666666666,/@/t,_/_/_/^/t/_/_/,_/_/_/a/t/_/_/_/
aw,uh,1474.0,3.2755555555555556,/O/,_/_/_/a/_/_/_/,_/_/_/a/w/_/_/_/
ay,uh,481.0,1.068888888888889,/eI/,_/_/_/e/j/_/_/,_/_/_/a/y/_/_/_/
ax,nn,1340.0,2.977777777777778,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/_/_/_/
ax,vv,98.0,0.21777777777777776,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/_/_/_/
slant,nn,685.0,1.5222222222222221,sl/&/nt,_/s/l/@/n/t/_/,_/s/l/a/n/t/_/_/
slant,vv,130.0,0.28888888888888886,sl/&/nt,_/s/l/@/n/t/_/,_/s/l/a/n/t/_/_/
fresh,jj,42854.0,95.2311111111111,fr/E/S/,_/f/r/E/S/_/_/,_/f/r/e/s/h/_/_/
slang,nn,974.0,2.1644444444444444,sl/&/N/,_/s/l/@/G/_/_/,_/s/l/a/n/g/_/_/
sync,nn,1086.0,2.4133333333333336,s/I/N/k,_/_/s/I/G/k/_/,_/_/s/y/n/c/_/_/
grease,nn,2609.0,5.797777777777778,gr/i/z,_/g/r/i/z/_/_/,_/g/r/e/a/s/e/_/
grease,vv,503.0,1.1177777777777778,gr/i/z,_/g/r/i/z/_/_/,_/g/r/e/a/s/e/_/
nurse,nn,13900.0,30.88888888888889,n/@/rs,_/_/n/^/r/s/_/,_/_/n/u/r/s/e/_/
nurse,vv,1103.0,2.451111111111111,n/@/rs,_/_/n/^/r/s/_/,_/_/n/u/r/s/e/_/
razz,vv,32.0,0.07111111111111111,r/&/z,_/_/r/@/z/_/_/,_/_/r/a/z/z/_/_/
pick,vv,36636.0,81.41333333333333,p/I/k,_/_/p/I/k/_/_/,_/_/p/i/c/k/_/_/
pick,nn,5039.0,11.197777777777778,p/I/k,_/_/p/I/k/_/_/,_/_/p/i/c/k/_/_/
raze,vv,141.0,0.31333333333333335,r/eI/z,_/_/r/e/j/z/_/,_/_/r/a/z/e/_/_/
sense,nn,104423.0,232.0511111111111,s/E/ns,_/_/s/E/n/s/_/,_/_/s/e/n/s/e/_/
sense,vv,4571.0,10.157777777777778,s/E/ns,_/_/s/E/n/s/_/,_/_/s/e/n/s/e/_/
cline,nn,55.0,0.12222222222222222,kl/aI/n,_/k/l/a/j/n/_/,_/c/l/i/n/e/_/_/
cling,vv,1608.0,3.5733333333333333,kl/I/N/,_/k/l/I/G/_/_/,_/c/l/i/n/g/_/_/
clung,vv,1219.0,2.7088888888888887,kl/@/N/,_/k/l/^/G/_/_/,_/c/l/u/n/g/_/_/
clink,nn,274.0,0.6088888888888889,kl/I/N/k,_/k/l/I/G/k/_/,_/c/l/i/n/k/_/_/
clink,vv,154.0,0.3422222222222222,kl/I/N/k,_/k/l/I/G/k/_/,_/c/l/i/n/k/_/_/
wrench,nn,1065.0,2.3666666666666667,r/E/n/tS/,_/_/r/E/n/C/_/,_/w/r/e/n/c/h/_/
wrench,vv,251.0,0.5577777777777778,r/E/n/tS/,_/_/r/E/n/C/_/,_/w/r/e/n/c/h/_/
pants,nn,13893.0,30.873333333333335,p/&/nts,_/_/p/@/n/t/s/,_/_/p/a/n/t/s/_/
pant,nn,581.0,1.291111111111111,p/&/nt,_/_/p/@/n/t/_/,_/_/p/a/n/t/_/_/
pant,vv,171.0,0.38,p/&/nt,_/_/p/@/n/t/_/,_/_/p/a/n/t/_/_/
pang,nn,1120.0,2.488888888888889,p/&/N/,_/_/p/@/G/_/_/,_/_/p/a/n/g/_/_/
pane,nn,804.0,1.7866666666666666,pAn/eI/,_/p/n/e/j/_/_/,_/_/p/a/n/e/_/_/
clique,nn,437.0,0.9711111111111111,kl/i/k,_/k/l/i/k/_/_/,_/c/l/i/q/u/e/_/
stewed,jj,170.0,0.37777777777777777,st/u/d,_/s/t/u/d/_/_/,_/s/t/e/w/e/d/_/
week,nn,154103.0,342.4511111111111,w/i/k,_/_/w/i/k/_/_/,_/_/w/e/e/k/_/_/
guan,nn,24.0,0.05333333333333334,gw/A/n,_/g/w/a/n/_/_/,_/_/g/u/a/n/_/_/
guar,nn,21.0,0.04666666666666667,gw/A/r,_/g/w/a/r/_/_/,_/_/g/u/a/r/_/_/
grace,nn,8437.0,18.74888888888889,gr/eI/s,_/g/r/e/j/s/_/,_/g/r/a/c/e/_/_/
grace,vv,230.0,0.5111111111111111,gr/eI/s,_/g/r/e/j/s/_/,_/g/r/a/c/e/_/_/
croon,vv,153.0,0.34,kr/u/n,_/k/r/u/n/_/_/,_/c/r/o/o/n/_/_/
steppe,nn,301.0,0.6688888888888889,st/E/p,_/s/t/E/p/_/_/,_/s/t/e/p/p/e/_/
play,vv,85923.0,190.94,pl/eI/,_/p/l/e/j/_/_/,_/p/l/a/y/_/_/_/
play,nn,39292.0,87.31555555555556,pl/eI/,_/p/l/e/j/_/_/,_/p/l/a/y/_/_/_/
tryst,nn,205.0,0.45555555555555555,tr/I/st,_/t/r/I/s/t/_/,_/t/r/y/s/t/_/_/
yawn,nn,467.0,1.0377777777777777,/j/O/n,_/_/j/a/n/_/_/,_/_/_/y/a/w/n/_/
yawn,vv,222.0,0.49333333333333335,/j/O/n,_/_/j/a/n/_/_/,_/_/_/y/a/w/n/_/
yawl,nn,53.0,0.11777777777777777,/j/O/l,_/_/j/a/l/_/_/,_/_/_/y/a/w/l/_/
plan,nn,75220.0,167.15555555555557,pl/&/n,_/p/l/@/n/_/_/,_/p/l/a/n/_/_/_/
plan,vv,16976.0,37.724444444444444,pl/&/n,_/p/l/@/n/_/_/,_/p/l/a/n/_/_/_/
hipped,jj,32.0,0.07111111111111111,h/I/pt,_/_/h/I/p/t/_/,_/_/h/i/p/p/e/d/
failed,jj,4418.0,9.817777777777778,f/eI/ld,_/_/f/e/j/l/d/,_/_/f/a/i/l/e/d/
sleeve,nn,3666.0,8.146666666666667,sl/i/v,_/s/l/i/v/_/_/,_/s/l/e/e/v/e/_/
sewn,vv,1125.0,2.5,s/oU/n,_/_/s/o/n/_/_/,_/_/s/e/w/n/_/_/
set,vv,50862.0,113.02666666666667,s/E/t,_/_/s/E/t/_/_/,_/_/s/e/t/_/_/_/
set,nn,42016.0,93.36888888888889,s/E/t,_/_/s/E/t/_/_/,_/_/s/e/t/_/_/_/
set,jj,461.0,1.0244444444444445,s/E/t,_/_/s/E/t/_/_/,_/_/s/e/t/_/_/_/
sex,nn,52771.0,117.2688888888889,s/E/ks,_/_/s/E/k/s/_/,_/_/s/e/x/_/_/_/
sex,vv,57.0,0.12666666666666668,s/E/ks,_/_/s/E/k/s/_/,_/_/s/e/x/_/_/_/
sexed,vv,37.0,0.08222222222222222,s/E/kst,_/_/s/E/k/s/t/,_/_/s/e/x/e/d/_/
see,vv,482714.0,1072.6977777777777,s/i/,_/_/s/i/_/_/_/,_/_/s/e/e/_/_/_/
seen,vv,129459.0,287.68666666666667,s/E/E/n,_/_/s/E/n/_/_/,_/_/s/e/e/n/_/_/
saw,vv,125622.0,279.16,s/O/,_/_/s/a/_/_/_/,_/_/s/a/w/_/_/_/
seeing,vv,41132.0,91.40444444444445,s/i/i/N/,_/_/s/i/G/_/_/,_/_/s/e/e/i/n/g/
sea,nn,42524.0,94.49777777777778,s/i/,_/_/s/i/_/_/_/,_/_/s/e/a/_/_/_/
nope,uh,1964.0,4.364444444444445,n/oU/p,_/_/n/o/p/_/_/,_/_/n/o/p/e/_/_/
spoiled,jj,760.0,1.6888888888888889,sp/Oi/ld,_/s/p/o/j/l/d/,_/s/p/o/i/l/e/d/
scamp,nn,56.0,0.12444444444444444,sk/&/mp,_/s/k/@/m/p/_/,_/s/c/a/m/p/_/_/
whole,jj,96052.0,213.4488888888889,h/oU/l,_/_/h/o/l/_/_/,_/w/h/o/l/e/_/_/
whole,nn,16454.0,36.56444444444445,h/oU/l,_/_/h/o/l/_/_/,_/w/h/o/l/e/_/_/
drunk,jj,8926.0,19.835555555555555,dr/@/N/k,_/d/r/^/G/k/_/,_/d/r/u/n/k/_/_/
drunk,nn,88.0,0.19555555555555557,dr/@/N/k,_/d/r/^/G/k/_/,_/d/r/u/n/k/_/_/
synth,nn,65.0,0.14444444444444443,s/I/n/T/,_/_/s/I/n/T/_/,_/_/s/y/n/t/h/_/
firm,nn,30960.0,68.8,f/@/rm,_/_/f/^/r/m/_/,_/_/f/i/r/m/_/_/
firm,jj,9554.0,21.23111111111111,f/@/rm,_/_/f/^/r/m/_/,_/_/f/i/r/m/_/_/
firm,vv,95.0,0.2111111111111111,f/@/rm,_/_/f/^/r/m/_/,_/_/f/i/r/m/_/_/
fire,nn,59873.0,133.0511111111111,f/aI/r,_/_/f/a/j/r/_/,_/_/f/i/r/e/_/_/
fire,vv,6757.0,15.015555555555556,f/aI/r,_/_/f/a/j/r/_/,_/_/f/i/r/e/_/_/
fund,nn,28331.0,62.95777777777778,f/@/nd,_/_/f/^/n/d/_/,_/_/f/u/n/d/_/_/
fund,vv,4491.0,9.98,f/@/nd,_/_/f/^/n/d/_/,_/_/f/u/n/d/_/_/
wheeled,jj,331.0,0.7355555555555555,w/i/ld,_/_/w/i/l/d/_/,_/w/h/e/e/l/e/d/
funk,nn,1045.0,2.3222222222222224,f/@/N/k,_/_/f/^/G/k/_/,_/_/f/u/n/k/_/_/
funk,vv,177.0,0.3933333333333333,f/@/N/k,_/_/f/^/G/k/_/,_/_/f/u/n/k/_/_/
mote,nn,141.0,0.31333333333333335,m/oU/t,_/_/m/o/t/_/_/,_/_/m/o/t/e/_/_/
moth,nn,1199.0,2.6644444444444444,m/O/T/,_/_/m/a/T/_/_/,_/_/m/o/t/h/_/_/
horde,nn,543.0,1.2066666666666668,h/oU/rd,_/_/h/o/r/d/_/,_/_/h/o/r/d/e/_/
canned,jj,3249.0,7.22,k/&/nd,_/_/k/@/n/d/_/,_/_/c/a/n/n/e/d/
hued,jj,35.0,0.07777777777777778,h/j/u/d,_/h/j/u/d/_/_/,_/_/h/u/e/d/_/_/
sight,nn,22734.0,50.52,s/aI/t,_/_/s/a/j/t/_/,_/_/s/i/g/h/t/_/
sight,vv,367.0,0.8155555555555556,s/aI/t,_/_/s/a/j/t/_/,_/_/s/i/g/h/t/_/
is,vb,4237443.0,9416.54,/I/z,_/_/_/I/z/_/_/,_/_/_/i/s/_/_/_/
was,vb,3384649.0,7521.442222222222,w/@/z,_/_/w/^/z/_/_/,_/_/w/a/s/_/_/_/
be,vb,2118716.0,4708.257777777778,b/i/,_/_/b/i/_/_/_/,_/_/b/e/_/_/_/_/
are,vb,2104334.0,4676.297777777778,/A/r,_/_/_/a/r/_/_/,_/_/_/a/r/e/_/_/
were,vb,1239291.0,2753.98,w/@/r,_/_/w/^/r/_/_/,_/_/w/e/r/e/_/_/
been,vb,900765.0,2001.7,b/I/n,_/_/b/I/n/_/_/,_/_/b/e/e/n/_/_/
am,vb,108844.0,241.87555555555556,/&/m,_/_/_/@/m/_/_/,_/_/_/a/m/_/_/_/
art,vb,22.0,0.04888888888888889,/A/rt,_/_/_/a/r/t/_/,_/_/_/a/r/t/_/_/
by,ii,1698219.0,3773.82,b/aI/,_/_/b/a/j/_/_/,_/_/b/y/_/_/_/_/
by,rr,36871.0,81.93555555555555,b/aI/,_/_/b/a/j/_/_/,_/_/b/y/_/_/_/_/
chide,vv,146.0,0.3244444444444444,/tS/aI/d,_/_/C/a/j/d/_/,_/c/h/i/d/e/_/_/
linked,vv,12519.0,27.82,l/I/N/kt,_/_/l/I/G/k/t/,_/_/l/i/n/k/e/d/
link,nn,11103.0,24.673333333333332,l/I/N/k,_/_/l/I/G/k/_/,_/_/l/i/n/k/_/_/
links,nn,7439.0,16.531111111111112,l/I/N/ks,_/_/l/I/G/k/s/,_/_/l/i/n/k/s/_/
link,vv,4824.0,10.72,l/I/N/k,_/_/l/I/G/k/_/,_/_/l/i/n/k/_/_/
links,vv,3037.0,6.748888888888889,l/I/N/ks,_/_/l/I/G/k/s/,_/_/l/i/n/k/s/_/
ling,nn,852.0,1.8933333333333333,l/I/N/,_/_/l/I/G/_/_/,_/_/l/i/n/g/_/_/
line,nn,113469.0,252.15333333333334,l/aI/n,_/_/l/a/j/n/_/,_/_/l/i/n/e/_/_/
line,vv,4402.0,9.782222222222222,l/aI/n,_/_/l/a/j/n/_/,_/_/l/i/n/e/_/_/
horned,jj,520.0,1.1555555555555554,h/O/rnd,_/_/h/a/r/n/d/,_/_/h/o/r/n/e/d/
code,nn,19864.0,44.14222222222222,k/oU/d,_/_/k/o/d/_/_/,_/_/c/o/d/e/_/_/
code,vv,692.0,1.5377777777777777,k/oU/d,_/_/k/o/d/_/_/,_/_/c/o/d/e/_/_/
send,vv,39010.0,86.68888888888888,s/E/nd,_/_/s/E/n/d/_/,_/_/s/e/n/d/_/_/
sent,vv,26288.0,58.41777777777778,s/E/nt,_/_/s/E/n/t/_/,_/_/s/e/n/t/_/_/
twine,nn,810.0,1.8,tw/aI/n,_/t/w/a/j/n/_/,_/t/w/i/n/e/_/_/
bird,nn,18404.0,40.897777777777776,b/@/rd,_/_/b/^/r/d/_/,_/_/b/i/r/d/_/_/
leg,nn,21544.0,47.87555555555556,l/E/g,_/_/l/E/g/_/_/,_/_/l/e/g/_/_/_/
let,vv,161495.0,358.8777777777778,l/E/t,_/_/l/E/t/_/_/,_/_/l/e/t/_/_/_/
let,nn,131.0,0.2911111111111111,l/E/t,_/_/l/E/t/_/_/,_/_/l/e/t/_/_/_/
sire,nn,511.0,1.1355555555555557,s/aI/r,_/_/s/a/j/r/_/,_/_/s/i/r/e/_/_/
sire,vv,63.0,0.14,s/aI/r,_/_/s/a/j/r/_/,_/_/s/i/r/e/_/_/
doubt,nn,15765.0,35.03333333333333,d/AU/t,_/_/d/a/w/t/_/,_/_/d/o/u/b/t/_/
doubt,vv,8096.0,17.99111111111111,d/AU/t,_/_/d/a/w/t/_/,_/_/d/o/u/b/t/_/
slit,nn,770.0,1.711111111111111,sl/I/t,_/s/l/I/t/_/_/,_/s/l/i/t/_/_/_/
slit,vv,355.0,0.7888888888888889,sl/I/t,_/s/l/I/t/_/_/,_/s/l/i/t/_/_/_/
drill,nn,3950.0,8.777777777777779,dr/I/l,_/d/r/I/l/_/_/,_/d/r/i/l/l/_/_/
drill,vv,2070.0,4.6,dr/I/l,_/d/r/I/l/_/_/,_/d/r/i/l/l/_/_/
bent,jj,1187.0,2.637777777777778,b/E/nt,_/_/b/E/n/t/_/,_/_/b/e/n/t/_/_/
bent,nn,106.0,0.23555555555555555,b/E/nt,_/_/b/E/n/t/_/,_/_/b/e/n/t/_/_/
high,jj,202671.0,450.38,h/aI/,_/_/h/a/j/_/_/,_/_/h/i/g/h/_/_/
high,rr,6357.0,14.126666666666667,h/aI/,_/_/h/a/j/_/_/,_/_/h/i/g/h/_/_/
high,nn,410.0,0.9111111111111111,h/aI/,_/_/h/a/j/_/_/,_/_/h/i/g/h/_/_/
smut,nn,166.0,0.3688888888888889,sm/@/t,_/s/m/^/t/_/_/,_/s/m/u/t/_/_/_/
smut,vv,25.0,0.05555555555555555,sm/@/t,_/s/m/^/t/_/_/,_/s/m/u/t/_/_/_/
rille,nn,19.0,0.042222222222222223,r/i/l,_/_/r/i/l/_/_/,_/_/r/i/l/l/e/_/
belch,nn,122.0,0.27111111111111114,b/E/l/tS/,_/_/b/E/l/C/_/,_/_/b/e/l/c/h/_/
belch,vv,87.0,0.19333333333333333,b/E/l/tS/,_/_/b/E/l/C/_/,_/_/b/e/l/c/h/_/
kiss,nn,6438.0,14.306666666666667,k/I/s,_/_/k/I/s/_/_/,_/_/k/i/s/s/_/_/
kiss,vv,6266.0,13.924444444444445,k/I/s,_/_/k/I/s/_/_/,_/_/k/i/s/s/_/_/
merge,vv,1850.0,4.111111111111111,m/@/r/dZ/,_/_/m/^/r/J/_/,_/_/m/e/r/g/e/_/
bad,jj,98744.0,219.4311111111111,b/&/d,_/_/b/@/d/_/_/,_/_/b/a/d/_/_/_/
worse,jj,31344.0,69.65333333333334,w/@/rs,_/_/w/^/r/s/_/,_/_/w/o/r/s/e/_/
worst,jj,26266.0,58.36888888888889,w/@/rst,_/_/w/^/r/s/t/,_/_/w/o/r/s/t/_/
worse,rr,3020.0,6.711111111111111,w/@/rs,_/_/w/^/r/s/_/,_/_/w/o/r/s/e/_/
bad,rr,716.0,1.5911111111111111,b/&/d,_/_/b/@/d/_/_/,_/_/b/a/d/_/_/_/
worst,rr,569.0,1.2644444444444445,w/@/rst,_/_/w/^/r/s/t/,_/_/w/o/r/s/t/_/
cess,nn,44.0,0.09777777777777778,s/E/s,_/_/s/E/s/_/_/,_/_/c/e/s/s/_/_/
spill,vv,3138.0,6.973333333333334,sp/I/l,_/s/p/I/l/_/_/,_/s/p/i/l/l/_/_/
spill,nn,2184.0,4.8533333333333335,sp/I/l,_/s/p/I/l/_/_/,_/s/p/i/l/l/_/_/
spilt,vv,48.0,0.10666666666666667,sp/I/lt,_/s/p/I/l/t/_/,_/s/p/i/l/t/_/_/
spilt,jj,62.0,0.13777777777777778,sp/I/lt,_/s/p/I/l/t/_/,_/s/p/i/l/t/_/_/
steel,nn,18133.0,40.29555555555555,st/i/l,_/s/t/i/l/_/_/,_/s/t/e/e/l/_/_/
steel,vv,50.0,0.1111111111111111,st/i/l,_/s/t/i/l/_/_/,_/s/t/e/e/l/_/_/
steep,jj,7126.0,15.835555555555555,st/i/p,_/s/t/i/p/_/_/,_/s/t/e/e/p/_/_/
steep,vv,258.0,0.5733333333333334,st/i/p,_/s/t/i/p/_/_/,_/s/t/e/e/p/_/_/
steep,nn,133.0,0.29555555555555557,st/i/p,_/s/t/i/p/_/_/,_/s/t/e/e/p/_/_/
steer,vv,2779.0,6.1755555555555555,st/i/r,_/s/t/i/r/_/_/,_/s/t/e/e/r/_/_/
steer,nn,329.0,0.7311111111111112,st/i/r,_/s/t/i/r/_/_/,_/s/t/e/e/r/_/_/
heft,nn,501.0,1.1133333333333333,h/E/ft,_/_/h/E/f/t/_/,_/_/h/e/f/t/_/_/
heft,vv,113.0,0.2511111111111111,h/E/ft,_/_/h/E/f/t/_/,_/_/h/e/f/t/_/_/
soak,vv,2200.0,4.888888888888889,s/oU/k,_/_/s/o/k/_/_/,_/_/s/o/a/k/_/_/
soak,nn,407.0,0.9044444444444445,s/oU/k,_/_/s/o/k/_/_/,_/_/s/o/a/k/_/_/
soap,nn,6051.0,13.446666666666667,s/oU/p,_/_/s/o/p/_/_/,_/_/s/o/a/p/_/_/
soap,vv,157.0,0.3488888888888889,s/oU/p,_/_/s/o/p/_/_/,_/_/s/o/a/p/_/_/
soar,vv,1452.0,3.2266666666666666,s/oU/r,_/_/s/o/r/_/_/,_/_/s/o/a/r/_/_/
flinch,vv,637.0,1.4155555555555555,fl/I/n/tS/,_/f/l/I/n/C/_/,_/f/l/i/n/c/h/_/
flinch,nn,189.0,0.42,fl/I/n/tS/,_/f/l/I/n/C/_/,_/f/l/i/n/c/h/_/
hope,vv,49710.0,110.46666666666667,h/oU/p,_/_/h/o/p/_/_/,_/_/h/o/p/e/_/_/
hope,nn,27744.0,61.653333333333336,h/oU/p,_/_/h/o/p/_/_/,_/_/h/o/p/e/_/_/
scram,vv,65.0,0.14444444444444443,skr/&/m,s/k/r/@/m/_/_/,s/c/r/a/m/_/_/_/
reins,nn,1648.0,3.6622222222222223,r/eI/nz,_/_/r/e/j/n/z/,_/_/r/e/i/n/s/_/
rein,vv,908.0,2.017777777777778,r/eI/n,_/_/r/e/j/n/_/,_/_/r/e/i/n/_/_/
rein,nn,611.0,1.3577777777777778,r/eI/n,_/_/r/e/j/n/_/,_/_/r/e/i/n/_/_/
grasp,vv,3734.0,8.297777777777778,gr/&/sp,_/g/r/@/s/p/_/,_/g/r/a/s/p/_/_/
grasp,nn,2879.0,6.397777777777778,gr/&/sp,_/g/r/@/s/p/_/,_/g/r/a/s/p/_/_/
drum,nn,4099.0,9.108888888888888,dr/@/m,_/d/r/^/m/_/_/,_/d/r/u/m/_/_/_/
drum,vv,458.0,1.0177777777777777,dr/@/m,_/d/r/^/m/_/_/,_/d/r/u/m/_/_/_/
drug,nn,58322.0,129.60444444444445,dr/@/g,_/d/r/^/g/_/_/,_/d/r/u/g/_/_/_/
drug,vv,127.0,0.2822222222222222,dr/@/g,_/d/r/^/g/_/_/,_/d/r/u/g/_/_/_/
maul,vv,62.0,0.13777777777777778,m/A/l,_/_/m/a/l/_/_/,_/_/m/a/u/l/_/_/
maul,nn,58.0,0.1288888888888889,m/A/l,_/_/m/a/l/_/_/,_/_/m/a/u/l/_/_/
ripe,jj,3954.0,8.786666666666667,r/aI/p,_/_/r/a/j/p/_/,_/_/r/i/p/e/_/_/
lush,jj,3334.0,7.408888888888889,l/@/S/,_/_/l/^/S/_/_/,_/_/l/u/s/h/_/_/
lush,nn,42.0,0.09333333333333334,l/@/S/,_/_/l/^/S/_/_/,_/_/l/u/s/h/_/_/
lust,nn,2588.0,5.751111111111111,l/@/st,_/_/l/^/s/t/_/,_/_/l/u/s/t/_/_/
lust,vv,62.0,0.13777777777777778,l/@/st,_/_/l/^/s/t/_/,_/_/l/u/s/t/_/_/
phi,nn,939.0,2.0866666666666664,f/aI/,_/_/f/a/j/_/_/,_/p/h/i/_/_/_/_/
ball,nn,40429.0,89.84222222222222,b/O/l,_/_/b/a/l/_/_/,_/_/b/a/l/l/_/_/
ball,vv,35.0,0.07777777777777778,b/O/l,_/_/b/a/l/_/_/,_/_/b/a/l/l/_/_/
balk,vv,403.0,0.8955555555555555,b/O/k,_/_/b/a/k/_/_/,_/_/b/a/l/k/_/_/
balk,nn,49.0,0.10888888888888888,b/O/k,_/_/b/a/k/_/_/,_/_/b/a/l/k/_/_/
dusk,nn,4030.0,8.955555555555556,d/@/sk,_/_/d/^/s/k/_/,_/_/d/u/s/k/_/_/
bale,nn,639.0,1.42,b/eI/l,_/_/b/e/j/l/_/,_/_/b/a/l/e/_/_/
bale,vv,219.0,0.4866666666666667,b/eI/l,_/_/b/e/j/l/_/,_/_/b/a/l/e/_/_/
bald,jj,3909.0,8.686666666666667,b/O/ld,_/_/b/a/l/d/_/,_/_/b/a/l/d/_/_/
dust,nn,17385.0,38.63333333333333,d/@/st,_/_/d/^/s/t/_/,_/_/d/u/s/t/_/_/
dust,vv,1203.0,2.6733333333333333,d/@/st,_/_/d/^/s/t/_/,_/_/d/u/s/t/_/_/
trudge,vv,264.0,0.5866666666666667,tr/@/dZ/,_/t/r/^/J/_/_/,_/t/r/u/d/g/e/_/
trudge,nn,61.0,0.13555555555555557,tr/@/dZ/,_/t/r/^/J/_/_/,_/t/r/u/d/g/e/_/
glut,nn,579.0,1.2866666666666666,gl/@/t,_/g/l/^/t/_/_/,_/g/l/u/t/_/_/_/
glut,vv,33.0,0.07333333333333333,gl/@/t,_/g/l/^/t/_/_/,_/g/l/u/t/_/_/_/
glum,jj,433.0,0.9622222222222222,gl/@/m,_/g/l/^/m/_/_/,_/g/l/u/m/_/_/_/
glue,nn,2941.0,6.535555555555556,gl/u/,_/g/l/u/_/_/_/,_/g/l/u/e/_/_/_/
glue,vv,945.0,2.1,gl/u/,_/g/l/u/_/_/_/,_/g/l/u/e/_/_/_/
taunt,vv,287.0,0.6377777777777778,t/O/nt,_/_/t/a/n/t/_/,_/_/t/a/u/n/t/_/
taunt,nn,153.0,0.34,t/O/nt,_/_/t/a/n/t/_/,_/_/t/a/u/n/t/_/
crisp,jj,4015.0,8.922222222222222,kr/I/sp,_/k/r/I/s/p/_/,_/c/r/i/s/p/_/_/
crisp,nn,2024.0,4.497777777777777,kr/I/sp,_/k/r/I/s/p/_/,_/c/r/i/s/p/_/_/
crisp,vv,159.0,0.35333333333333333,kr/I/sp,_/k/r/I/s/p/_/,_/c/r/i/s/p/_/_/
murk,nn,263.0,0.5844444444444444,m/@/rk,_/_/m/^/r/k/_/,_/_/m/u/r/k/_/_/
thief,nn,3003.0,6.673333333333333,/T/i/f,_/_/T/i/f/_/_/,_/t/h/i/e/f/_/_/
thieves,nn,2655.0,5.9,/T/i/vz,_/_/T/i/v/z/_/,_/t/h/i/e/v/e/s/
gummed,jj,45.0,0.1,g/@/md,_/_/g/^/m/d/_/,_/_/g/u/m/m/e/d/
stage,nn,43013.0,95.58444444444444,st/eI/dZ/,_/s/t/e/j/J/_/,_/s/t/a/g/e/_/_/
staged,vv,1562.0,3.471111111111111,st/eI/dZ/d,_/s/t/e/j/J/d/,_/s/t/a/g/e/d/_/
stage,vv,333.0,0.74,st/eI/dZ/,_/s/t/e/j/J/_/,_/s/t/a/g/e/_/_/
