wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
ham,3789.0,8.42,h/&/m,_/_/h/@/m/_/_/,_/_/h/a/m/_/_/_/
hag,277.0,0.6155555555555555,h/&/g,_/_/h/@/g/_/_/,_/_/h/a/g/_/_/_/
hay,3077.0,6.837777777777778,h/eI/,_/_/h/e/j/_/_/,_/_/h/a/y/_/_/_/
hat,16255.0,36.12222222222222,h/&/t,_/_/h/@/t/_/_/,_/_/h/a/t/_/_/_/
haw,149.0,0.33111111111111113,h/O/,_/_/h/a/_/_/_/,_/_/h/a/w/_/_/_/
flub,56.0,0.12444444444444444,fl/@/b,_/f/l/^/b/_/_/,_/f/l/u/b/_/_/_/
crowd,30106.0,66.90222222222222,kr/AU/d,_/k/r/a/w/d/_/,_/c/r/o/w/d/_/_/
czech,3068.0,6.817777777777778,/tS/E/k,_/_/C/E/k/_/_/,_/c/z/e/c/h/_/_/
crown,8207.0,18.23777777777778,kr/AU/n,_/k/r/a/w/n/_/,_/c/r/o/w/n/_/_/
crowned,908.0,2.017777777777778,kr/AU/nd,_/k/r/a/w/n/d/,_/c/r/o/w/n/e/d/
tame,1598.0,3.551111111111111,t/eI/m,_/_/t/e/j/m/_/,_/_/t/a/m/e/_/_/
tamp,183.0,0.4066666666666667,t/&/mp,_/_/t/@/m/p/_/,_/_/t/a/m/p/_/_/
smashed,1792.0,3.982222222222222,sm/&/S/t,_/s/m/@/S/t/_/,_/s/m/a/s/h/e/d/
role,84951.0,188.78,r/oU/l,_/_/r/o/l/_/_/,_/_/r/o/l/e/_/_/
roll,22051.0,49.00222222222222,r/oU/l,_/_/r/o/l/_/_/,_/_/r/o/l/l/_/_/
gown,4160.0,9.244444444444444,g/AU/n,_/_/g/a/w/n/_/,_/_/g/o/w/n/_/_/
chain,17123.0,38.05111111111111,/tS/eI/n,_/_/C/e/j/n/_/,_/c/h/a/i/n/_/_/
chair,38020.0,84.4888888888889,/tS/@/r,_/_/C/^/r/_/_/,_/c/h/a/i/r/_/_/
jerk,2697.0,5.993333333333333,/dZ/@/rk,_/_/J/^/r/k/_/,_/_/j/e/r/k/_/_/
choice,50342.0,111.8711111111111,/tS/Oi/s,_/_/C/o/j/s/_/,_/c/h/o/i/c/e/_/
boost,9284.0,20.63111111111111,b/u/st,_/_/b/u/s/t/_/,_/_/b/o/o/s/t/_/
ref,637.0,1.4155555555555555,r/E/f,_/_/r/E/f/_/_/,_/_/r/e/f/_/_/_/
fledged,105.0,0.23333333333333334,fl/E/dZ/d,_/f/l/E/J/d/_/,_/f/l/e/d/g/e/d/
fledge,40.0,0.08888888888888889,fl/E/dZ/,_/f/l/E/J/_/_/,_/f/l/e/d/g/e/_/
queue,806.0,1.791111111111111,k/j/u/,_/k/j/u/_/_/_/,_/_/q/u/e/u/e/_/
wane,529.0,1.1755555555555555,w/eI/n,_/_/w/e/j/n/_/,_/_/w/a/n/e/_/_/
